Identidade;Civil;Instrução;Filhos;Salário;Anos;Meses;Região
1;solteiro;fundamental;0;4.00;26;3;interior
2;casado;fundamental;1;4.56;32;10;capital
3;casado;fundamental;2;5.25;36;5;capital
4;solteiro;médio;0;5.73;20;10;outra
5;solteiro;fundamental;0;6.26;40;7;outra
6;casado;fundamental;0;6.66;28;0;interior
7;solteiro;fundamental;0;6.86;41;0;interior
8;solteiro;fundamental;0;7.39;43;4;capital
9;casado;médio;1;7.59;34;10;capital
10;solteiro;médio;0;7.44;23;6;outra
11;casado;médio;2;8.12;33;6;interior
12;solteiro;fundamental;0;8.46;27;11;capital
13;solteiro;médio;0;8.74;37;5;outra
14;casado;fundamental;3;8.95;44;2;outra
15;casado;médio;0;9.13;30;5;interior
16;solteiro;médio;0;9.35;38;8;outra
17;casado;médio;1;9.77;31;7;capital
18;casado;fundamental;2;9.80;39;7;outra
19;solteiro;superior;0;10.53;25;8;interior
20;solteiro;médio;0;10.76;37;4;interior
21;casado;médio;1;11.06;30;9;outra
22;solteiro;médio;0;11.59;34;2;capital
23;solteiro;fundamental;0;12.00;41;0;outra
24;casado;superior;0;12.79;26;1;outra
25;casado;médio;2;13.23;32;5;interior
26;casado;médio;2;13.60;35;0;outra
27;solteiro;fundamental;0;13.85;46;7;outra
28;casado;médio;0;14.69;29;8;interior
29;casado;médio;5;14.71;40;6;interior
30;casado;médio;2;15.99;35;10;capital
31;solteiro;superior;0;16.22;31;5;outra
32;casado;médio;1;16.61;36;4;interior
33;casado;superior;3;17.26;43;7;capital
34;solteiro;superior;0;18.75;33;7;capital
35;casado;médio;2;19.40;48;11;capital
36;casado;superior;3;23.30;42;2;interior
